메뉴 이름,메뉴 설명,재료,조리 과정
가지탕수,겉은 바삭. 속은 촉촉. 안주로도 간식으로도 최고 가지탕수,"가지 2개, 튀김가루 2컵, 물 1컵 반<br>
[양념 및 소스재료] 간장 4큰술, 설탕 4큰술, 식초 6큰술, 맛술 2큰술, 전분물 2큰술, 물 2컵, 양파 1/2개","1. 가지는 도톰하게 어슷썰어요. <br>2. 튀김가루2컵에 물1컵반을 넣고 반죽을 만들어요. <br>3. 끓는 기름에 반죽 묻힌 가지를 튀겨요. 2번 튀겨서 바삭하게 해요. 
<br>4. 간장4큰술, 설탕4큰술, 식초6큰술, 맛술2큰술, 녹말물2큰술, 물2컵을 넣고 끓이다 양파도 채썰어 넣고 끓여요. <br>5. 두번 튀긴 가지를 접시에 담고 부먹 찍먹  선호에 따라 소스랑 같이 곁들여 내요."
깐풍가지,더 맛있게(중식)튀김옷을 입은 가지볶음,"가지 4개, 양파 1/2개, 당근 1/4개, 청양고추 2개, 홍고추 2개, 튀김가루 1밥그릇, 밀가루 적당량<br> [양념] 맛간장 4스푼, 식초 4스푼, 다진마늘 1.5스푼, 설탕 2스푼, 올리고당 2스푼, 맛술 1스푼, 두반장 0.5스푼, 고추기름 1스푼, 물 3스푼, 식용유 적당량","1. 가지4개를 삼각썰기 해주세요. 각이지게 썰어야 식감이 더좋아요.<br>2. 소금, 후추로 밑간을 해주세요. <br>3. 준비한 야채를 잘게 다져서 미리 준비해요. 매운걸 싫어하시면 청양고추대신 파프리카를 쓰시면 좋아요. <br>4. 양념장을 미리 만들어주세요. 비닐팩에 밀가루와 가지를 넣고 마구 흔들어 밀가루옷을 골고루 입혀주세요.<br>5. 볼에 튀김가루 밥그릇1 그리고 물과 얼음을 넣고 개어주세요. 농도는 묽게합니다. 얼음이나 맥주를 조금 넣으면 튀김이 더 바삭해요.<br> 6. 튀김옷을 골고루 입혀주세요. <br>7. 적당량의 기름을 180도 온도에 가지를 넣고 튀겨주세요. 
노릇노릇하게 색이 변하면 건져냅니다.<br> 8. 볶음팬에 고추기름1스푼을 두르고 다져둔 야채들을 살짝볶아주세요.<br>9. 준비한 양념장을 넣고 살짝 끓여주세요. 
튀겨둔 가지를 넣고 골고루 섞어 볶아주면 완성입니다"
가지스테이크,"안토시아닌이 함유되어 있는 항암예방에 좋은 가지<br> 고혈압, 동맥경화 예방까지<br>매콤달달 스테이크 ",가지 3개 고추장 2숟가락 마늘 1숟가락 설탕(적은) 1숟가락 올리고당 1숟가락 참기름 2숟가락 참깨 솔솔,"1. 가지는 깨끗하게 씻고 반으로 잘라서 칼집을 내어요. 너무 깊게 내면 찢어 질수가 있으니 조심 (벌집 모양처럼) <br>2. 가지스테이크 소스를 만들어 줄거예요.
고추장2, 마늘1, 설탕1,올리고당1, 참기름2, 참깨 넣고 팬에 참기름을 조금 두르고 살짝 구었어요. 약불에서 구어 주어요.<br>3. 만들어둔 양념을 가지살에 살살 발라 주어요. 양념이 다 발라졌다면 뒤집어서 아주 살짝이 양념이 배이면서 익도록 해요.(1~2분정도)  불조절 약약불로. 그렇지 않으면 탈수가 있어요. <br>4. 접시에 한꺼번에 담아서 먹거나 접시에 가지 스테이크 담고, 밥을 담아서 드셔도 좋을듯 합니다."
가지그라탕,가지를 싫어하는 아이도 맛있게 먹을 수 있는 요리입니다,가지 2개 양파 1개 토마토소스 7Ts 모짜렐라 치즈 200g 버터 10g 마늘 2쪽 소금 3g 후추 3g 바질 3g,"1. 가지는 적당한 크기의 주사위 모양으로 자른다.<br> 2. 마늘은 다져 준다. 
양파는 적당한 크기로 다져 준다. <br>3. 양파를 넣고, 소금, 후추를 넣은 뒤 가지를 넣어준다. <br>4. 야채가 살짝 숨이 죽을 정도로 볶아준 뒤 토마토소스를 넣는다. <br>5. 오븐 그릇에 담아준 뒤 모차렐라 치즈를 뿌려준다.<br> 6. 180도 오븐에 10분간 굽고 바질가루를 뿌려준다."
가지찜 ,가지는 열을 내리고 혈액순환을 좋게 하며 통증을 멈추게 하고 붓기를 완화하는 효과가 있다. 특히 가지에 포함된 보라색 껍질은 혈액 중의 콜레스테롤 수치를 낮추는 작용을 할 뿐만 아니라 항산화물질인 폴리페놀이 풍부하게 들어있다.,"가지 240g, 소금 3g
<br> (양념장) 간장 8g, 다진 파 3g, 다진 마늘 3g, 참기름 2g, 깨소금 1g","1. 가지는 깨끗이 씻은 후 길이로 반을 잘라 둔다.<br> 2. 찜통에 찐 후 길이로 5~6등분 갈라 4cm 길이로 자른다.<br> 3. 분량의 양념으로 양념장을 만든다.
<br>4. 가지에 양념장을 넣고 잘 무친 후 소금으로 간을 맞춘다.
"
가지냉국 ,여름이 제철인 가지를 이용해 가지냉국을 만들어 보세요. 가지의 달고 부드러운 맛과 시원 짭짤한 냉국물이 어우러져 입맛 없을 때 한 술 뜨면 제격이에요. 가지에는 비타민E가 풍부해 젊음을 유지하는데 도움이 된답니다,"가지 4개, 대파(흰대) 1/2개, 멸치육수 6컵, 식초 약간, 소금 약간, 얼음 적당량, 고춧가루(고운 것) 2작은술, 마늘즙 1큰술, 간장 2큰술, 식초 2큰술, 설탕 2큰술, 깨소금 1큰술, 참기름 약간","1. 가지는 5cm 정도의 길이로 잘라 그릇에 담고 랩을 싼 뒤 구멍을 내 전자레인지로 3분 정도 익혀요.<br>2. 익힌 가지를 식힌 뒤 손으로 1cm 정도의 굵기로 찢어 얼음 물에 헹궜다가 물기를 꼭 짜요.<br>3. 대파는 깨끗이 씻은 뒤 흰 대 부분만 송송 썰어 준비해주세요.<br>4. 볼에 준비한 가지와 고운 고춧가루, 마늘즙, 간장, 식초, 설탕, 깨소금, 참기름을 넣고 조물조물 버무려요.<br>5. 양념된 가지에 차게 준비한 멸치육수를 부어 잘 섞은 뒤 개인 그릇에 담아요.<br>6. 가지냉국에 송송 썬 대파와 얼음을 적당히 넣고 식성에 맞춰 식초와 소금으로 간을 해서 드세요."
가지튀김 ,"두뇌를 맑게 하는 가지튀김, 가지는 식품의 색소나 발색제에서 나오는 발암 물질을 억제하는 효과가 있어 색소가 들어간 식품이나 햄 등을 많이 먹는 아이들에게 챙겨주는 것이 좋아요.","가지 1개, 다진 돼지고기 50g, 밀가루 2숟가락, 달걀 1개, 빵가루 1/2컵, 튀김기름(적당량), 소금 0.1숟가락, 다진 마늘 0.5숟가락, 청주 0.3숟가락, 후춧가루(약간)<br>고기 양념 (소금 0.1숟가락, 다진 마늘 0.5숟가락, 청주 0.3숟가락, 후춧가루)","1. 가지는 2㎝ 두께로 어슷하게 썰어 가운데에 칼집을 넣는다.<br> 2. 볼에 고기 양념 재료를 한데 넣어 만든 다음 다진 돼지고기를 넣어 한 덩어리가 되도록 치댄다.
<br>3. 가지 칼집 사이에 밀가루를 뿌려 털어낸 후 2의 돼지고기 반죽을 고루 넣는다.<br>4. 3의 가지에 밀가루, 달걀물, 빵가루 순으로 튀김옷을 입힌 후 160도로 달군 기름에 바삭하게 튀긴다."
가지말이밥,,"가지 2개, 밥 2공기, 단무지 50g, 달걀 1개, 소금(약간), 식용유(약간), 참기름(약간), 깨소금(약간), 올리브오일 2큰술, 소금 1작은술<br> 가지 양념 (올리브오일 2큰술, 소금 1작은술)","1. 가지는 길이로 얇게 썰어서 가지 양념에 10분 정도 재워 두었다가 그릴이나 프라이팬에 굽는다.<br>2. 밥은 소금, 참기름,깨소금으로 양념하여 골고루 섞는다.<br>3. 단무지는 채썬다.<br>4. 달걀은 잘 풀어서 소금을 약간 넣어 프라이팬에 식용유를 두르고 얇게 지단을 부쳐서 곱게 채썬다.<br>5. 구운 가지 위에 밥을 한수저 펼쳐 놓고 단무지, 지단을 올려서 돌돌 말아준다."
가지피클 ,,"가지 4개, 청양고추 5개, 레몬 ¼개, 월계수잎 2장, 통후추 10알, 물 1½컵, 식초 1컵, 설탕 ¼컵, 소금 5큰술","1. 가지는 깨끗이 씻어 꼭지를 떼어내고 4㎝ 길이로 썰어 세로로 반을 가른다.<br>2. 청양고추는 꼭지째 씻어서 꼭지를 가위로 반만 잘라주고 물기를 닦는다.
<br>3. 레몬은 얇게 저민다.<br>4. 냄비에 물, 식초, 설탕, 소금을 분량대로 넣고 끓여서 피클물을 만든다.<br>5. 피클을 담을 용기를 끓는 물에 끓여서 진공상태로 만든다.<br>6. ⑤의 용기에 가지, 청양고추, 레몬, 월계수잎, 통후추를 넣고 피클물을 식혀서 부어 밀봉한다.<br>7. 3일 정도 지난 후 피클물을 따라내어 한 번 더 끓여 식혀서 붓고 밀봉한 뒤에 일주일 후부터 먹기 시작한다."
마파가지덮밥,,"가지 1개, 배추김치 100g, 콩나물 100g, 밥 2공기, 소금(약간), 김가루 3큰술, 깻잎 1장, 고춧가루 1작은술, 맛술 1작은술, 참기름 1큰술, 깨소금 1큰술, 마늘(다진 마늘) 1큰술, 파(다진 파) 1큰술, 소금(약간), 후춧가루(약간)<br> 덮밥 양념장 (고춧가루 1작은술, 맛술 1작은술, 참기름 1큰술, 깨소금 1큰술, 마늘 1큰술, 파 1큰술, 소금, 후춧가루)","1. 가지는 씻어 꼭지 부분을 떼어내고 동그랗게 편 썰어 소금물에 담가 색이 변하는 것을 막는다.<br>2. 배추김치는 소를 말끔하게 털어내고 국물을 짜낸 후 1㎝ 두께로 송송 썬다. 콩나물은 머리와 꼬리를 다듬어 씻어서 물기를 턴다.<br> 3. 김은 앞뒤로 불에 구워서 잘게 부순다. 깻잎은 씻어서 물기를 털고 돌돌 말아서 곱게 채 썬다.<br>4. 냄비에 기름을 두르고 고춧가루와 참기름과 맛술, 다진 마늘, 다진 파를 넣어 섞은 후 배추김치와 콩나물, 가지를 넣고 약한 불에서 볶는다.<br> 5. ④의 가지, 김치, 콩나물이 매콤하면서 알맞게 볶아지면 소금과 후춧가루를 넣어 맛을 내고 깨소금을 넣어 버무려서 더욱 고소하게 한다.<br> 6. 그릇에 밥을 적당히 펼쳐 담고 ⑤의 가지김치콩나물을 알맞게 올리고 김가루와 깻잎채를 뿌려 상에 낸다."
강황드레싱,"가볍고 상큼한 이 드레싱은 레몬, 생강, 마늘, 강황이 맛있게 섞여있어 도시락에 즐겨 사용하게 될 것입니다.","올리브 오일 360ml(1½컵), 강황 가루 2작은술, 레드 와인 식초 80ml(⅓컵), 레몬즙 120ml(½컵), 신선한 생강 뿌리 5g(1개), 소금 3g(1작은술)","1. 모든 재료를 나열된 순서대로 믹서기에 넣고 뚜껑을 단단히 닫습니다.<br>2. 
30초 또는 원하는 질감이 될 때까지 블렌딩하십시오."
검은깨바나나우유,"검은깨에 들어있는 안토시아닌 성분은 콜레스테롤 수치 저하나 면역력 강화, 시력보호에 도움을 주고 검은깨의 단백질은 두피에 영양을 주어 머리카락 빠지는 것을 막아주고 두뇌 활성화와 키성장을 돕는 영양성분들이 많아서 누구나 섭취해도 좋다.",바나나 1개 우유 200~400ml 검은깨 1큰술(취향껏조절),"1. 검은깨,우유,바나나를 준비해주세요. 바나나를 얼려서 쉐이크를 만들어드셔도 좋지요.<br>2. 믹서기에 바나나,검은깨,우유를 넣어 갈아주세요."
두부검은깨스낵,"건강한 식재료 두부를 남녀노소 누구나 즐길 수 있는 간식으로 만든, 두부 검은깨 스낵 입니다.","밀가루(중력분) 2.5컵, 두부 1/2모, 달걀 1개, 설탕 3큰술, 검은깨 1/2컵, 소금 1작은술, 식용유 약간","1. 밀가루와 소금은 함께 섞어 체에 내려 놓는다.<br>2. 두부는 칼등으로 으깬 뒤 키친타월로 감싸 물기를 없앤다.<br>3. 체에 내린 밀가루에 계란, 설탕을 넣고 섞은 다음 으깬 두부와 검은깨를 넣어 섞는다.<br> 4. 반죽을 비닐봉지에 넣어 20분 정도 둔다.<br>5. 도마 위에 밀가루를 약간 바른 다음 반죽을 올려 1mm정도로 얇게 밀어 마름모 모양으로 자른다.<br> 6. 170°C로 달궈진 기름에 넣어 노릇하게 튀긴 다음 키친타월에 올려 기름기를 뺀다."
두부 검은깨 스테이크,"단백질이 풍부한, 두부 검은깨 스테이크 입니다.","두부 1모, 캔 햄 1/4캔, 검은깨 2큰술, 계란 2개, 밀가루 2큰술, 소금 약간, 후춧가루 약간, 식용유 적당량, 오리엔탈 드레싱 적당량","1. 두부는 칼등으로 으깨어 면보에 잘 싸서 물기를 꼭 짭니다.<br>2. 햄은 잘게 다집니다. <br>3. 볼에 두부, 햄, 검은깨를 넣고 잘 섞습니다. <br>4. 계란, 밀가루를 넣고 골고루 섞은 뒤 소금, 후춧가루를 살짝 뿌려 간합니다.<br> 5. 달궈진 팬에 식용유를 두르고 한 숟가락씩 떠서 중불에서 앞뒤로 노릇하게 지집니다.<br> 6. 두부 검은깨 스테이크와 함께 오리엔탈 드레싱을 그릇에 담아냅니다."
검은깨스틱쿠키,,"박력분 80g, 식물성오일(식용유), 카놀라유 25g, 올리고당 30g, 소금 1꼬집<br> [검은깨 필링] 검은깨 4Ts, 꿀 2Ts, 올리고당 2TS","1. 식물성 오일과 올리고당,소금을 거품기로 섞어 주세요. <br>2. 박력분을 체에 친후 넣고 한덩어리가 될때까지 섞어주세요. <br>3. 반죽을 밀대로 얇게 밀어 직사각형으로 만들어 주세요. <br>4. 검은깨필링 재료를 모두 섞어 주세요. <br>5. 쿠키 반죽위에 검은깨 필링을 얹고 170180℃로 열한 오븐에 넣어 15분간 구워 주세요. 구워진 쿠키는 약간 식힌후 (쿠키가 살짝 따뜻할때) 칼로 길다랗게 잘라 주면 돼요."
검은깨초콜릿,,"화이트초콜릿 100g, 생크림 53g, 검은깨가루2Ts<br> [양념] 슈가파우더 적당량",1. 슈가파우더를 제외한 모든재료를 그릇에 넣고 그대로 (아무것도 씌우지말고) 렌지에 넣어 1분간 가열해주세요.(렌지 1100W기준) <br>2. 반쯤 녹으면 거품기나 주걱등 으로 휘휘저어 잘 섞어주세요. <br>3. 렌지에 넣고 2분동안 가열해 주세요. <br>4. 차가운곳 (전 부엌 창가에)에 넣어 초콜릿을 굳혀주세요. <br>5. 굳은 초콜릿을 티스푼으로뜬다음 경단 빚듯이 손바닥으로 동그랗게 빚어주세요. <br>6. 비닐봉지에 슈가파우더를 넣고 5의 초콜릿을 넣고 봉지의 입구를 잡은뒤 흔들어 슈가파우더가 고루 묻히게 해주세요.
결명자라떼,"눈에 좋은 결명자를 이용한, 결명자라떼 레시피","결명자,  구기자,  생수,  우유,  메이플시럽 ( 약재물이라는 것은 결명자와 구기자로 우린 물)",1. 씻은 결명자를 냄비에 볶아주고 구기자도 씻운 후 갈색빛이 될때까지 저으며 볶아준다. (각각)<br>2. 결명자와 구기자를 물ㄹ에 넣고 끓여 내용물을 건져준다.<br>3. 2번에 우린 물과 우유를 넣고 에워준다.<br>4. 마지막으로 메이플 시럽을 넣은 후 골고루 저어 완성
결명자찹쌀부꾸미,"찹쌀가루에 결명자가루를 섞어 익반죽한 다음, 소를 넣지 않고 동글납작하게 기름에 지져 낸 맛과 색상이 독특한 떡이다. ","찹쌀 400g(소두 1/2되, 찹쌀가루 6컵), 결명자가루 50g, 소금 1작은술, 설탕 1/2컵, 잣 2큰술, 지지는 기름 적당량","1. 찹쌀은 깨끗이 씻은 후 물에 6시간 정도 담갔다가, 소쿠리에 건져서 물기를 뺀 후 소금을 넣는다.<br>2. 가루로 빻아 체에 내린다.<br>3. 결명자는 씻어 말려 기름 두르지 않은 프라이팬에 볶아 분마기에 갈아서 가루를 낸다.<br>4. 찹쌀가루에 결명자가루와 소금을 넣고 체에 내린다.<br>5. 끓는 물로 익반죽하여 두께 0.5㎝, 직경 5∼6㎝ 정도의 크기로 동글납작하게 빚는다.<br>6. 프라이팬에 기름을 두른 뒤 반죽을 지지다가 한쪽 면이 익으면 뒤집고 찹쌀이 거의 익어 말갛게 되면 반을 접어 반달 모양으로 만든다.<br>7. 그 위에 비늘잣을 붙이고 부꾸미가 식기 전에 설탕을 조금씩 뿌려 낸다."
고사리밥,,"쌀 2컵, 다시마 1조각(2*3cm), 데친 고사리 100g,  당근 1/4개, 국간장 1큰술, 참기름 1큰술<br> [양념장 재료] 진간장 7큰술, 올리고당 1큰술, 맛술 1큰술, 다진마늘 1/2큰술, 고춧가루 1큰술, 참기름 1큰술, 잘게썬 쪽파 1줌, 통깨 약간","1. 쌀은 1시간정도 불려 준비해주세요. <br>2. 데친 고사리 100g을 준비해주세요. 데친 고사리는 2-3cm 정도의 먹기좋은 길이로 잘라 준비해주세요. (말린 고사리를 쓰시는 분들은 하룻밤정도 물에 담구어 불려놓은 후 끓는물에 30분정도 삶아주세요.) <br>3. 자른 고사리는 국간장 1큰술, 참기름 1큰술을 넣어 밑간을 해주세요. <br>4. 당근을 얇게 채썰어주세요. <br> 5. 양념장 재료들을 잘 섞어주세요.<br>6. 냄비에 불린쌀과 다시마 2조각, 물 2컵을 넣고 당근과 고사리를 얹은 후 뚜껑을 닫고 중불에서 끓이다 물이 끓어오르기 시작하면 중약불에서 5분, 약불에서 15분을 더 끓여주세요. <br>6. 마지막으로 불을끄고 10분정도 뜸을 들여 완성해주세요."
육개장,,"소고기 600g, 건 고사리 50g, 대파 5뿌리 이상 넉넉히, 무 1/5도막<br> [양념] 고춧가루 2T, 국간장 5T, 생강술 1T, 다진마늘 1T","1. 고사리는 찬물에 1시간정도 담궜다가 삶아서 그대로 30분정도 둡니다. 흐르는 물에 잘 씻어건져 먹기좋게 썰어요.<br>2. 소고기는 국거리 준비해 둔 것이 있어서 잠시 핏물빼고 준비 합니다. 덩어리고기 사용하면 더 맛이 좋아요.<br>3. 먹기좋게 썬 고사리에 핏물뺀 소고기를 넣고 국간장, 고춧가루, 생강술넣고 조물조물 무쳐 밑간 합니다. <br>4. 냄비에 들기름, 식용유 둘러 대파 넉넉히 넣고 볶아 줍니다. <br>5. 볶아진 대파에 나박썬 무를 넣고 잠시 볶아요.<br>6. 밑간한 고사리, 소고기를 넣고 잘 섞은 후 물 부어 끓여 줍니다.<br>7. 보글보글 끓으면 부족한 간은 소금으로 합니다. 다진마늘 넉넉히 넣고 마무리해요."
고사리 들깨찜,,"고사리 600g, 대파 1뿌리, 들깨가루 6스푼, 양파 1개, 다시마육수 2컵, 들기름 6스푼 <br>[양념] 다진마늘 4스푼, 간장 4스푼, 표고소금약간, 미림 4스푼",1. 고사리는 하루전날 삶아 불을 끄고 뜸들여 고사리 발을 떼고 물에 담구어 놓았어요. 너무 많이 삶으면 곤죽이되니 주의<br>2. 귓볼 정도로 말랑한 고사리 집간장 마늘 넣고 조물조물 주물러 밑간을 먼저 했어요.<br>3. 달군 팬에 들기름넣고 다듬어논 고사리넣어 달달 볶다 미림 4스푼 넣고 다시마육수 2컵 넣어 자글자글 끓여 줍니다. <br>4. 양파와 대파도 어슷 썰어 주고 들깨도 넣어 자작하게 농도를 맞추고 썰어놓은 양파도 넣어요. 양파는 채소라 오래 익힐 필요는 없어요.<br> 5. 고사리랑 양파와 어우러지게 살째 볶아 파 넣어 마무리 합니다. 혹시 물기가 없어 뻑뻑하면 중간에 육수를 더 부어 조절하면 됩니다.
